t,cum_ret
0,-0.0028188205723080283
1,-0.0029073402107824904
2,-0.002786004887544394
3,0.0005552715267501116
4,-0.0007838888676067809
5,-0.0009155877329054611
6,-0.004360414508448674
7,-0.002082465785149328
8,0.0005313043309855502
9,-0.0021453076965784116
10,0.00030166711902156624
11,0.0033439383626845502
12,0.0025488274621223114
13,-0.0024701012227474352
14,-0.0003818292077885221
15,-0.0013590273050412146
16,-0.001498100779204273
17,0.00022832317642317747
18,0.0027568019494427958
19,0.005711856921502192
